Latitude,Longitude,Frequency
41.87137115,-87.62751442,55
41.94654265,-87.7143561,55
41.96542634,-87.65522754,54
41.89589602,-87.67791339,54
41.86741494,-87.62723119,54
41.93358238,-87.64551708,54
41.89038424,-87.62410992,54
41.88247092,-87.62784763,54
41.85102174,-87.61895485,53
41.74350386,-87.60501807,53
41.88899385,-87.62693483,53
41.87766908,-87.62928477,53
41.88172219,-87.62435627,52
41.79519055,-87.58800765,52
41.73775077,-87.60485591,52
41.85363385,-87.73457098,52
41.89601097,-87.62427907,52
41.93991842,-87.65328888,51
41.88249622,-87.62438077,51
41.89250939,-87.62606972,51
41.67851969,-87.66249794,51
41.89876792,-87.62411633,51
41.9764212,-87.90497627,51
41.86621554,-87.72193079,51
41.88036208,-87.75584744,51
41.77901282,-87.66420869,51
41.74091899,-87.63196775,50
41.71651743,-87.62273193,50
41.89262841,-87.63115524,49
41.80898136,-87.60655105,49
41.76918549,-87.62573242,49
41.97899124,-87.65994197,49
41.75664045,-87.66359084,49
41.8695273,-87.63926876,48
41.89281615,-87.6241932,48
41.73972702,-87.60491052,48
41.77002086,-87.6913338,48
41.86684367,-87.62581667,48
41.76015578,-87.55675291,48
41.8926701,-87.62810635,48
41.94722589,-87.65554544,48
41.75412154,-87.70746025,47
41.91857831,-87.63618385,47
41.69256976,-87.62439788,47
41.88134862,-87.67452579,47
41.84400018,-87.6284429,46
41.70607019,-87.6536458,46
41.89804054,-87.62409132,46
41.75083246,-87.60522475,46
41.98287878,-87.79144084,46
41.88796617,-87.6347907,46
41.90754244,-87.64597669,45
41.85859482,-87.62721443,45
41.74806235,-87.68280166,45
41.83313943,-87.61531921,45
41.79054357,-87.78013033,45
41.88767664,-87.648687,45
41.86634153,-87.7111543,45
41.83638523,-87.66571041,45
41.88039991,-87.75300855,45
41.88956143,-87.62019665,45
41.77299898,-87.57647854,45
41.90980431,-87.65160639,44
41.88536947,-87.63243193,44
41.91765602,-87.68875026,44
41.77297208,-87.64461087,44
41.87837031,-87.70724814,44
42.01660711,-87.67530276,44
41.88816513,-87.62293721,44
41.75176741,-87.56341761,44
41.79453381,-87.63143854,44
41.89082499,-87.63018336,44
41.75033427,-87.66504531,43
41.96672861,-87.76744511,43
41.90915204,-87.65267504,43
41.91136705,-87.62640164,43
41.73585717,-87.62415286,43
41.77997505,-87.63093738,43
41.69235865,-87.62309675,43
41.88974191,-87.765198,43
41.86633173,-87.66637917,43
41.75011132,-87.64403074,43
41.85679041,-87.70842407,42
41.76587359,-87.57629471,42
41.68480988,-87.64214721,42
41.89317959,-87.63468615,42
41.88158261,-87.62619758,42
41.93989863,-87.75428142,42
41.91572961,-87.74605678,42
41.73626462,-87.6279295,42
41.77888383,-87.66420637,42
41.72119436,-87.66396637,42
41.68821818,-87.53735791,42
41.8804876,-87.74596464,42
41.89119945,-87.62413763,42
41.84458068,-87.70180834,42
41.86805441,-87.63261743,42
41.75161364,-87.57537386,42
41.8811831,-87.68498211,42
41.87920284,-87.62611365,41
41.87536742,-87.62762099,41
41.92652359,-87.63405052,41
41.75901281,-87.56021562,41
41.88010804,-87.64730998,41
41.74989948,-87.66342638,41
41.89668507,-87.62768386,41
41.70775621,-87.58070877,41
41.89200307,-87.62807696,41
41.78032836,-87.71789669,41
41.88784585,-87.62456034,41
41.80462016,-87.68436817,40
41.75469107,-87.55703869,40
41.92046017,-87.67083136,40
41.89399011,-87.70215558,40
41.72276838,-87.62441036,40
41.94654248,-87.73608438,40
41.757631,-87.58570825,40
41.765444,-87.62690618,40
41.8824572,-87.62784778,40
41.65143133,-87.52725823,40
41.8945635,-87.62274511,40
41.89105171,-87.63405559,40
41.90971226,-87.73926766,40
41.88660908,-87.6612215,40
41.70567778,-87.60094436,40
41.86337523,-87.65963666,39
41.87515512,-87.66790671,39
41.8952399,-87.74581479,39
41.91067631,-87.64918707,39
41.71568082,-87.64305821,39
41.75142065,-87.59248679,39
41.91058325,-87.72635338,39
41.88601795,-87.62452178,39
41.88155654,-87.62775854,39
41.8863702,-87.6206912,39
41.88018642,-87.76853246,39
41.92415876,-87.6994,39
41.88242485,-87.62437788,39
41.88945317,-87.62799483,39
41.68041843,-87.66243795,39
41.94621213,-87.64657968,39
41.89146573,-87.62415304,39
41.89367653,-87.63562833,39
41.8790794,-87.62434142,38
41.88539325,-87.66354785,38
41.75146446,-87.6440639,38
41.86319688,-87.61481782,38
41.92628702,-87.785548,38
41.86742869,-87.62634257,38
41.7223626,-87.58382047,38
41.83061185,-87.62324737,38
41.88194977,-87.6473674,37
41.89362863,-87.62422461,37
41.88479095,-87.62446924,37
41.92510186,-87.67199231,37
41.92245089,-87.63220629,37
41.90307749,-87.68367333,37
41.89328168,-87.62759645,37
41.85199252,-87.68888874,36
41.87494734,-87.72547164,36
41.95343636,-87.74627323,36
41.80929706,-87.59196703,36
41.86760821,-87.68029878,36
41.7511646,-87.61219863,36
41.89446573,-87.62424106,36
41.79621616,-87.72324567,36
41.87227445,-87.76458166,36
41.91864652,-87.64613311,36
41.86821992,-87.66404656,36
41.88177008,-87.63530987,36
41.93633564,-87.65071012,35
41.78629171,-87.66438601,35
41.89542064,-87.72053941,35
41.90316534,-87.62921044,35
41.85273159,-87.70139047,35
41.94310859,-87.64936609,35
41.83787159,-87.62343501,35
41.99475899,-87.7144777,35
41.8957324,-87.68778438,35
41.83095408,-87.63070323,35
41.90963629,-87.74530073,35
41.83404223,-87.67436899,35
41.80765067,-87.64308049,35
41.8775785,-87.62928209,35
41.90961488,-87.74701658,35
41.93990585,-87.65441005,35
41.75047239,-87.63429712,34
41.87822214,-87.62728848,34
41.92367262,-87.78630161,34
41.96474492,-87.71484914,34
41.87884043,-87.63958293,34
41.82312577,-87.60272595,34
41.88975195,-87.63107289,34
41.83981621,-87.61751617,34
41.88277424,-87.62942702,34
41.76516269,-87.62489689,34
41.83232928,-87.61698315,34
41.88448407,-87.62321302,34
41.7429913,-87.63202582,34
41.88416377,-87.68651639,34
41.89001352,-87.631665,34
41.87756569,-87.68489383,34
41.88154694,-87.62619797,34
41.9038923,-87.63185836,34
41.92938643,-87.70789243,34
41.98216127,-87.66850026,34
41.97008868,-87.76269009,33
41.78210152,-87.586502,33
41.86618454,-87.72436148,33
41.89482155,-87.63213393,33
41.94780258,-87.66403451,33
41.75856041,-87.562728,33
41.77887716,-87.70884011,33
41.87321963,-87.67586867,33
41.75077211,-87.62453842,33
41.82386008,-87.61516241,33
41.76724597,-87.57632989,33
41.9309465,-87.78896265,33
41.87667195,-87.75384276,33
41.90924028,-87.65274758,33
41.98129586,-87.88509757,33
41.73593111,-87.65364248,33
41.86651732,-87.6951787,33
41.70709533,-87.62883442,33
41.91134384,-87.63471588,33
41.91083552,-87.65335152,33
41.9906152,-87.68318858,33
41.80865936,-87.66092185,33
41.88096768,-87.73794027,32
41.88207699,-87.6267099,32
41.96596163,-87.65479165,32
41.72118063,-87.62371719,32
41.94622144,-87.70825356,32
41.97059998,-87.71464909,32
41.90439412,-87.63000143,32
41.88213959,-87.71104513,32
41.85194955,-87.61899592,32
41.92039427,-87.66845103,32
41.80930523,-87.60655839,32
41.90930707,-87.80576669,32
41.73612686,-87.62918406,32
41.80320189,-87.72198373,32
41.79417254,-87.70357593,32
41.76525377,-87.61525555,32
41.94031827,-87.64440819,32
41.93859561,-87.64957603,32
41.97551745,-87.72956922,32
41.88427684,-87.62209893,32
41.86971065,-87.62747761,32
41.9930999,-87.68973324,32
41.803672,-87.70384602,32
41.80863408,-87.6455275,32
41.87619698,-87.72410855,32
41.87612122,-87.64100397,31
41.77268594,-87.6057585,31
41.67783055,-87.62050376,31
42.01824468,-87.69018631,31
41.88118366,-87.68508125,31
41.89005303,-87.6287044,31
41.85393075,-87.62384107,31
41.90050559,-87.69928504,31
41.85139331,-87.72390352,31
41.77173651,-87.66400571,31
41.77804747,-87.58638773,31
41.89427265,-87.72605239,31
41.88080179,-87.62551582,31
41.7799566,-87.60592196,31
41.79949066,-87.59349938,31
41.76901408,-87.57270935,31
41.94928361,-87.64303608,31
41.88162419,-87.62939191,31
41.87527257,-87.62425131,31
41.79450951,-87.63330174,31
41.88033698,-87.62936564,31
41.73642227,-87.60481597,30
41.71902307,-87.62052856,30
41.88449753,-87.6258386,30
41.89666404,-87.62917534,30
41.78265502,-87.66429915,30
41.81691816,-87.63356767,30
41.85180407,-87.68563492,30
41.87178962,-87.6335643,30
41.85974695,-87.63027064,30
41.87989042,-87.63083203,30
41.87812392,-87.63320879,30
41.82387989,-87.61350386,30
41.77979855,-87.64164874,30
41.88036652,-87.6243529,30
41.70751943,-87.60183902,30
41.76415189,-87.6832293,30
41.77755833,-87.61555825,30
41.88447623,-87.63131061,30
41.90352381,-87.66674162,30
41.79393591,-87.62568028,30
41.92203975,-87.69733018,30
41.88548754,-87.72642205,30
41.8859081,-87.62628943,30
41.8798457,-87.62935635,30
41.88144179,-87.66783781,30
41.88572959,-87.62582133,30
41.97810845,-87.90412276,30
41.90979863,-87.65203628,30
41.93089679,-87.69758766,30
41.88058694,-87.70611017,29
41.91244802,-87.6531654,29
41.91076487,-87.65812092,29
41.92490244,-87.76602531,29
41.77929591,-87.64477419,29
41.87799992,-87.64309875,29
41.88108866,-87.72076449,29
41.94725226,-87.65350869,29
41.93543292,-87.66850434,29
41.86974916,-87.64010713,29
41.96538061,-87.65911092,29
41.906276,-87.67001188,29
41.88614694,-87.62452403,29
41.83606971,-87.61303335,29
41.73627743,-87.62510451,29
41.94813137,-87.6495109,29
41.94495301,-87.64941621,29
41.89346903,-87.63264823,29
41.88549579,-87.61864438,29
41.98736291,-87.7022934,29
41.73626912,-87.62776824,29
41.88048626,-87.72566518,29
41.8904556,-87.6241128,29
41.93992341,-87.6686672,29
41.89106211,-87.61704346,29
41.89500282,-87.62145471,29
41.76463209,-87.62831164,29
41.90335438,-87.66686461,28
41.88633725,-87.62068789,28
41.8978375,-87.62409724,28
41.8628421,-87.70201046,28
41.88574153,-87.6313445,28
41.78701723,-87.6455056,28
41.86135928,-87.69440034,28
41.76616187,-87.56269203,28
41.76744896,-87.58595717,28
41.88946287,-87.62422294,28
41.77905969,-87.6155965,28
41.80046498,-87.7233704,28
41.80912527,-87.63190651,28
41.89167877,-87.62755165,28
41.88866266,-87.74864419,28
41.81241712,-87.62454516,28
41.94394845,-87.64938651,28
41.90544721,-87.6858718,28
41.88452109,-87.62209989,28
41.75702248,-87.55807346,28
41.74621174,-87.63540603,28
41.74946001,-87.72089612,28
41.82332006,-87.6232032,28
41.89670226,-87.62646422,28
41.89644231,-87.65572273,28
41.88550384,-87.62793545,28
41.79329893,-87.66456619,28
41.88321046,-87.63435042,28
41.92397622,-87.76629442,28
41.78833989,-87.74051423,28
41.90712916,-87.67808505,28
41.70716055,-87.62382378,28
41.88920383,-87.6316408,28
41.75609493,-87.6446594,28
41.86698884,-87.65720501,28
41.96904621,-87.65806472,28
41.88870181,-87.64757061,27
41.78320968,-87.61569688,27
41.80968751,-87.67497079,27
41.8528683,-87.63091491,27
41.7796184,-87.65376796,27
41.91273399,-87.66212315,27
41.75089655,-87.62781331,27
41.80865964,-87.66096953,27
41.68995741,-87.63746062,27
41.88465375,-87.62625185,27
41.80336596,-87.62268271,27
41.76809684,-87.66387859,27
41.79075458,-87.73992726,27
41.80153881,-87.61614523,27
41.75065771,-87.61495649,27
41.98924362,-87.66511973,27
41.7649009,-87.57694394,27
41.67766176,-87.65287226,27
41.88764063,-87.61934028,27
41.70802939,-87.56929028,27
41.747393,-87.58543861,27
41.8740601,-87.70592431,27
41.92539845,-87.6523113,27
41.96640935,-87.64885216,27
41.66581486,-87.55885388,27
41.89494561,-87.75487498,27
41.96718966,-87.66015085,27
41.8860399,-87.62452154,27
41.75660479,-87.57609578,27
41.88895519,-87.714905,26
41.92160694,-87.66556501,26
41.95388558,-87.65453007,26
41.82834795,-87.63265068,26
41.86978639,-87.77428182,26
41.9458639,-87.76791271,26
41.75053814,-87.63427809,26
41.73671109,-87.66308714,26
41.77581543,-87.61551536,26
41.86657808,-87.62413446,26
41.80484718,-87.62434618,26
41.96853307,-87.65481217,26
41.88036792,-87.75537001,26
41.92823582,-87.68208415,26
41.87529169,-87.72365083,26
41.89113357,-87.62413468,26
41.88519172,-87.62448685,26
41.783432,-87.61570174,26
41.97852657,-87.75708711,26
41.82737375,-87.68256806,26
41.97855782,-87.83658879,26
41.89098807,-87.62102183,26
41.88686381,-87.6268518,26
41.75217488,-87.55182471,26
41.65374579,-87.59993756,26
42.01831174,-87.67586663,26
41.88616984,-87.62068608,26
41.71375388,-87.64298726,26
41.85198889,-87.68921912,26
41.94312232,-87.64936594,26
41.76472805,-87.56127231,26
41.9095099,-87.754997,25
41.9104705,-87.67836683,25
41.8807173,-87.72628358,25
41.8609112,-87.69574471,25
41.83101411,-87.61731704,25
41.89102304,-87.61914102,25
41.75049083,-87.65430247,25
41.87863072,-87.6366733,25
41.82379815,-87.61975652,25
41.94933263,-87.64847244,25
41.74676537,-87.60262495,25
41.84347393,-87.72452917,25
41.84425276,-87.72494385,25
41.86640116,-87.70597351,25
41.88762081,-87.61880064,25
41.87950547,-87.62668316,25
41.7518271,-87.55923174,25
41.9103799,-87.64826076,25
41.7787854,-87.68484869,25
41.73365047,-87.55784532,25
41.74625997,-87.66333229,25
41.97509979,-87.67937466,25
41.88627534,-87.76507815,25
41.85496367,-87.62713324,25
41.88531238,-87.66757363,25
41.78135327,-87.63508375,25
41.89001377,-87.63170539,25
41.90650727,-87.76702211,25
41.92509811,-87.67229367,25
41.9005639,-87.63056874,25
41.88826749,-87.62707505,25
41.930906,-87.64401704,25
41.93698613,-87.64429705,25
41.80706791,-87.60384375,24
41.75145288,-87.62456758,24
41.83660077,-87.61677038,24
41.90351448,-87.66749844,24
41.83469081,-87.61370565,24
41.8774702,-87.67822288,24
41.91023949,-87.69484627,24
41.92245045,-87.63573751,24
41.93467909,-87.63670683,24
41.79479466,-87.61679251,24
41.78011089,-87.61561778,24
41.86155927,-87.65976218,24
41.72917087,-87.55123535,24
41.93944442,-87.68959677,24
41.91085767,-87.65199563,24
41.91000536,-87.71575991,24
41.75018542,-87.64402995,24
41.76139623,-87.55797683,24
41.8085009,-87.61656276,24
41.87793519,-87.72899045,24
41.83748901,-87.64626446,24
41.97701762,-87.69244749,24
41.91405534,-87.63339672,24
41.89551349,-87.71076105,24
41.94591099,-87.65547482,24
41.81902761,-87.66521938,24
41.90113338,-87.62990498,24
41.95923913,-87.65353571,24
41.87716145,-87.67653695,24
41.73625535,-87.62820806,24
41.95488168,-87.66906694,24
41.91159074,-87.73531182,24
41.88852595,-87.64432226,24
41.90087042,-87.6241849,24
41.87152057,-87.62593032,24
41.90311305,-87.64319935,24
41.72169869,-87.62539649,24
41.77774075,-87.631761,24
41.77583464,-87.61551514,24
41.88993496,-87.63769635,24
41.92363798,-87.78998752,24
41.99967967,-87.68180868,24
41.78021753,-87.61687416,24
41.88065311,-87.63439665,23
41.93357111,-87.79678313,23
41.87915046,-87.75502112,23
41.77431903,-87.60579503,23
41.88587925,-87.63097943,23
41.79467209,-87.62357087,23
41.90750111,-87.67738325,23
41.77310988,-87.58629471,23
41.93791173,-87.72714913,23
41.75605723,-87.65492916,23
41.76991675,-87.66395498,23
41.8843891,-87.70686621,23
41.73609565,-87.60480867,23
41.76559446,-87.62105065,23
41.87851302,-87.76642478,23
41.8941716,-87.62150067,23
41.88480734,-87.75033191,23
41.81261053,-87.72376507,23
41.93930054,-87.71179449,23
41.88242974,-87.62784441,23
41.8744151,-87.62760944,23
41.75201902,-87.61497796,23
41.88316482,-87.6445084,23
41.87845845,-87.74520475,23
41.88169102,-87.62776073,23
41.88194442,-87.63419529,23
41.9116839,-87.74591752,23
41.89637595,-87.6242787,23
41.78083528,-87.66425207,23
41.88448696,-87.62858195,23
41.83594706,-87.73404599,23
41.75705758,-87.7221763,23
41.92278653,-87.64504512,23
41.8844707,-87.63310278,23
41.91088611,-87.65031638,23
41.86844745,-87.64222859,23
41.83941029,-87.64631363,23
41.90296164,-87.66586585,23
41.75655047,-87.59260005,23
41.77601854,-87.61552043,23
41.87523294,-87.6276188,23
41.7799602,-87.63209978,23
41.96881041,-87.67511094,23
41.88048339,-87.62773362,23
41.87102541,-87.69951038,23
41.94670237,-87.65611708,23
41.83053093,-87.61027746,23
41.84135048,-87.62686091,23
41.88681546,-87.62836172,23
41.9660594,-87.73715599,23
41.72363784,-87.66273216,23
41.93791999,-87.64902459,23
41.86703734,-87.7283882,23
41.94827959,-87.64951667,22
41.8949934,-87.622149,22
41.9097978,-87.73302509,22
41.75416869,-87.60163576,22
41.89601133,-87.63418514,22
41.87758587,-87.68312375,22
41.92807654,-87.78560619,22
41.87148916,-87.62751679,22
41.90938657,-87.76492098,22
41.74453409,-87.56065317,22
41.8185851,-87.69452488,22
41.88570208,-87.64203164,22
41.89130879,-87.61435961,22
41.81072902,-87.60172605,22
41.75932713,-87.58615404,22
41.69302227,-87.6279152,22
41.88422978,-87.76541209,22
41.8945563,-87.62424373,22
41.8805215,-87.6448636,22
41.9399189,-87.65336973,22
41.75742312,-87.63284729,22
41.84269583,-87.61721984,22
41.74931588,-87.56862867,22
41.67355412,-87.61641112,22
41.86693762,-87.6241415,22
41.86622945,-87.72093573,22
41.90845279,-87.76588076,22
41.89171014,-87.64584162,22
41.97316782,-87.71349527,22
41.95347181,-87.74355244,22
41.93542876,-87.7834006,22
41.83207129,-87.61697868,22
41.76330531,-87.55987085,22
41.97964955,-87.68079923,22
41.88427637,-87.62202182,22
41.76241996,-87.68318081,22
41.69237889,-87.62104615,22
41.89837293,-87.62503531,22
41.88705768,-87.64751474,22
41.9090189,-87.67742282,22
41.77796729,-87.61556835,22
41.89317941,-87.63465676,22
41.97515172,-87.69889823,22
41.8781136,-87.63421869,22
41.96548197,-87.64018807,22
41.85486431,-87.72484696,22
41.86970721,-87.63049562,22
41.74965795,-87.66342156,22
41.97912164,-87.65505652,22
41.89328576,-87.65653841,21
41.74397044,-87.58579712,21
41.88048995,-87.7458875,21
41.86734639,-87.63216624,21
41.75259619,-87.55405513,21
41.75048339,-87.59910133,21
41.87153053,-87.74492681,21
41.86623521,-87.72047309,21
41.9004248,-87.64246793,21
41.88255387,-87.6243838,21
41.78295171,-87.60436283,21
41.79519153,-87.588158,21
41.94234047,-87.77636479,21
41.89677291,-87.62146443,21
41.9264041,-87.79288181,21
41.74614086,-87.65240616,21
41.80883344,-87.62282402,21
41.77876753,-87.68362799,21
41.80820174,-87.68442005,21
41.9067971,-87.67186166,21
41.88920232,-87.61761146,21
41.77931045,-87.67439434,21
41.90001777,-87.62342663,21
41.90856054,-87.67740914,21
41.903142,-87.63077557,21
41.87396879,-87.62598777,21
41.72130336,-87.6558736,21
41.90938448,-87.76505325,21
41.86108146,-87.69379005,21
41.69212213,-87.66134608,21
41.78345163,-87.70326286,21
41.97028143,-87.65765453,21
41.97681473,-87.65988032,21
41.69070123,-87.66428259,21
41.73692204,-87.55141977,21
41.81224459,-87.60443062,21
41.9091891,-87.6510582,21
41.90676568,-87.73255021,21
41.86421787,-87.70217315,21
41.88065283,-87.731763,21
41.89070383,-87.70640419,21
41.78672931,-87.66601684,21
41.87407739,-87.67422595,21
41.7815766,-87.6156601,21
41.96004678,-87.64676205,21
41.99837571,-87.67070071,21
41.79116079,-87.57983659,21
41.7690705,-87.62666845,21
41.78352202,-87.59312567,21
41.9253986,-87.65233702,21
41.89141255,-87.6479346,21
41.90276547,-87.65766155,21
41.8382278,-87.63228237,21
41.90755602,-87.67738636,21
41.75870572,-87.5927512,21
41.75295025,-87.55406184,21
41.89194817,-87.62807389,21
41.89994592,-87.62779856,21
41.81231282,-87.62454264,21
41.89469218,-87.61563657,20
41.92882233,-87.68778161,20
41.75633032,-87.5527162,20
41.95362033,-87.73040825,20
41.79874193,-87.62580711,20
41.88574029,-87.63159057,20
41.90712726,-87.67823202,20
41.95364341,-87.72801475,20
41.8093471,-87.61891922,20
41.68416044,-87.66269195,20
41.74845823,-87.60515996,20
41.89040009,-87.62802114,20
41.76838292,-87.644495,20
41.96538705,-87.65833869,20
41.88166358,-87.62776103,20
41.89189329,-87.6280745,20
41.89550508,-87.71174182,20
41.88575329,-87.62699624,20
41.90269863,-87.72316609,20
41.94355269,-87.68816234,20
41.87233263,-87.67960815,20
41.87786497,-87.62766695,20
41.88534739,-87.62792982,20
41.88813174,-87.62954817,20
41.77801575,-87.59806145,20
41.9010737,-87.63136393,20
41.77866106,-87.68227253,20
41.79352178,-87.64149021,20
41.77111794,-87.69318512,20
41.77834098,-87.70312224,20
41.7123599,-87.62009309,20
41.91284327,-87.65317957,20
41.87941054,-87.63134036,20
41.85552494,-87.6978538,20
41.88151647,-87.63874243,20
41.68233493,-87.62065173,20
41.75662336,-87.55303151,20
41.72883584,-87.60463426,20
41.89597801,-87.62427576,20
41.86620223,-87.72303965,20
41.79953209,-87.7375211,20
41.87093226,-87.74492128,20
41.88601293,-87.62950532,20
41.96910739,-87.65355215,20
41.89318177,-87.6345943,20
41.67320797,-87.61767411,20
41.88096649,-87.70676745,20
41.76806982,-87.56730628,20
41.82493308,-87.62310466,20
41.88590199,-87.63245549,20
41.89567514,-87.62856915,20
41.77332057,-87.58746538,20
41.85164273,-87.71664831,20
41.73662542,-87.60656135,20
41.81069352,-87.68392905,20
41.75336747,-87.64289278,20
41.8528827,-87.63552861,20
41.75940222,-87.64426852,20
41.87616378,-87.74511196,20
41.91505523,-87.76417995,20
41.88454669,-87.61694731,20
41.90949882,-87.75606617,20
41.96840553,-87.71278394,20
41.8798933,-87.62772175,19
41.90618767,-87.72648318,19
41.91011672,-87.67744465,19
41.93343622,-87.64539737,19
41.71557103,-87.64305572,19
41.91007391,-87.65310611,19
41.88448545,-87.62878394,19
41.76555823,-87.62273354,19
41.87665055,-87.7555871,19
41.90584419,-87.72639827,19
41.99537642,-87.7154944,19
41.88200469,-87.72894843,19
41.87082262,-87.7187477,19
41.88178708,-87.64677792,19
41.75054703,-87.59789493,19
41.86614819,-87.72682527,19
41.98367304,-87.65717457,19
41.89257181,-87.62195917,19
41.9244916,-87.72594597,19
41.90393322,-87.62912854,19
41.89569203,-87.62729811,19
41.7946704,-87.63178543,19
41.90792617,-87.64819515,19
41.89322348,-87.63153437,19
41.86530034,-87.7227068,19
41.7128602,-87.59246461,19
41.87938134,-87.6342012,19
41.74899896,-87.60517584,19
41.86709608,-87.72392696,19
41.75625909,-87.62471994,19
41.80749934,-87.59023448,19
41.88804596,-87.62541383,19
41.88447238,-87.63337818,19
41.90961629,-87.74675573,19
41.9121496,-87.736181,19
41.78024349,-87.61531932,19
41.86708141,-87.61900371,19
41.80962908,-87.59793846,19
41.77907344,-87.61560001,19
41.88322434,-87.6249713,19
41.87507,-87.64097493,19
41.79446258,-87.77055822,19
41.80086334,-87.66476628,19
41.87815642,-87.62999545,19
41.78056486,-87.67635769,19
41.89670201,-87.62642382,19
41.76172759,-87.564816,19
41.76456916,-87.62834165,19
41.84085918,-87.62684797,19
41.79467841,-87.62326276,19
41.84402694,-87.62210081,19
41.91072362,-87.67800053,19
41.88639335,-87.76508077,19
41.76302702,-87.58624307,19
41.77999793,-87.62929459,19
41.81602778,-87.72388307,19
41.92799852,-87.67320816,19
41.75145765,-87.55289252,19
41.88976055,-87.6279988,19
41.80802882,-87.68441446,19
41.82286093,-87.69063379,19
41.7311447,-87.66292886,19
41.80859321,-87.66557723,19
41.7791534,-87.65449147,19
41.74534014,-87.60507061,19
41.75482364,-87.55109257,19
41.73688639,-87.62417085,19
41.90703235,-87.69697955,19
41.90252292,-87.63140683,19
41.88446517,-87.63444691,19
41.96461888,-87.6569753,19
41.87376574,-87.69929605,19
41.96479803,-87.65478194,19
41.886817,-87.62905947,19
